135700,5.878048e-05,5.697508e-01,1.846372e-09
135800,6.046099e-05,5.864716e-01,1.897879e-09
135900,6.386489e-05,6.199457e-01,2.003378e-09
136000,4.829165e-05,4.691189e-01,1.513841e-09
136100,5.514647e-05,5.361025e-01,1.727562e-09
136200,5.251963e-05,5.109410e-01,1.644166e-09
136300,6.366164e-05,6.197915e-01,1.991636e-09
136400,5.243611e-05,5.108776e-01,1.639348e-09
136500,6.356048e-05,6.197147e-01,1.985804e-09
136600,5.836056e-05,5.694323e-01,1.822122e-09
136700,6.774744e-05,6.615054e-01,2.113781e-09
136800,5.484049e-05,5.358700e-01,1.709928e-09
136900,4.109779e-05,4.018776e-01,1.280573e-09
137000,6.074235e-05,5.944073e-01,1.891417e-09
137100,5.812976e-05,5.692564e-01,1.808856e-09
137200,5.979215e-05,5.859631e-01,1.859344e-09
137300,6.827991e-05,6.696309e-01,2.121871e-09
137400,6.396189e-05,6.277403e-01,1.986359e-09
137500,5.794638e-05,5.691162e-01,1.798347e-09
137600,3.746516e-05,3.682290e-01,1.161946e-09
137700,4.424214e-05,4.351531e-01,1.371215e-09
137800,5.695944e-05,5.606436e-01,1.764194e-09
137900,6.371042e-05,6.275476e-01,1.971981e-09
138000,5.262589e-05,5.187409e-01,1.627809e-09
138100,5.597712e-05,5.521743e-01,1.730321e-09
138200,5.169583e-05,5.103117e-01,1.596922e-09
138300,6.943826e-05,6.859509e-01,2.143579e-09
138400,5.076867e-05,5.018846e-01,1.566207e-09
138500,4.988344e-05,4.934898e-01,1.537880e-09
138600,6.336154e-05,6.272792e-01,1.952112e-09
138700,6.162368e-05,6.105146e-01,1.897317e-09
138800,5.567103e-05,5.519385e-01,1.712912e-09
138900,6.068462e-05,6.020781e-01,1.865941e-09
139000,4.968888e-05,4.933396e-01,1.526836e-09
139100,5.217473e-05,5.183932e-01,1.602166e-09
139200,4.708885e-05,4.681977e-01,1.445039e-09
139300,5.461415e-05,5.434108e-01,1.674870e-09
139400,5.205297e-05,5.182989e-01,1.595277e-09
139500,5.704598e-05,5.684224e-01,1.747151e-09
139600,4.778081e-05,4.764429e-01,1.462426e-09
139700,5.947025e-05,5.934281e-01,1.819012e-09
139800,5.021757e-05,5.014583e-01,1.534995e-09
139900,5.686913e-05,5.682851e-01,1.737175e-09
140000,5.181110e-05,5.181110e-01,1.581633e-09
140100,5.511107e-05,5.515043e-01,1.681271e-09
140200,5.840592e-05,5.848936e-01,1.780623e-09
140300,5.669333e-05,5.681482e-01,1.727283e-09
140400,4.665257e-05,4.678586e-01,1.420443e-09
140500,5.577339e-05,5.597258e-01,1.697040e-09
140600,6.571193e-05,6.599355e-01,1.998142e-09
140700,6.067436e-05,6.097773e-01,1.843761e-09
